id,accommodates,bedrooms,beds,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bath_number,prop_type_reduced_Entire condo,prop_type_reduced_Entire guest suite,prop_type_reduced_Entire guesthouse,prop_type_reduced_Entire home,prop_type_reduced_Entire rental unit,prop_type_reduced_Entire townhouse,prop_type_reduced_Other,has_availability_f,has_availability_t
360,3,2.0,2.0,90.0,4,27,57,147,179,7,0,4.99,4.99,4.96,5.0,5.0,5.0,4.91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
364,3,1.0,1.0,179.0,23,53,83,358,87,0,0,4.85,4.78,4.81,4.95,4.96,4.65,4.71,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31503,2,1.0,1.0,103.0,12,42,72,347,159,27,3,4.91,4.92,5.0,4.95,4.99,4.88,4.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39405,2,1.0,1.0,136.0,6,7,32,114,667,35,3,4.92,4.88,4.93,4.98,4.97,4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
154999,2,1.0,1.0,162.0,0,0,0,139,11,0,0,4.7,4.4,4.7,4.7,4.9,4.9,4.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
364585,6,3.0,3.0,165.0,0,12,42,317,145,1,0,4.8,4.84,4.65,4.81,4.7,4.87,4.73,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
504080,4,2.0,2.0,124.0,16,39,69,69,88,15,1,4.86,4.85,4.74,4.99,4.98,4.76,4.77,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
521072,2,1.0,1.0,109.0,0,0,22,45,213,4,0,4.8,4.76,4.7,4.95,4.91,4.76,4.78,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
575758,4,2.0,2.0,200.0,30,60,90,365,37,0,0,4.59,4.61,4.42,4.44,4.78,4.53,4.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
632709,4,2.0,2.0,143.0,0,22,52,142,162,0,0,4.88,4.94,4.9,4.97,4.91,4.95,4.88,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
665622,4,2.0,2.0,140.0,0,0,22,22,857,1,0,4.72,4.82,4.71,4.89,4.78,4.91,4.76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
676825,6,3.0,3.0,245.0,10,32,48,218,201,22,2,4.97,4.98,5.0,4.99,5.0,4.95,4.91,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
715123,2,2.0,2.0,143.0,12,14,14,14,106,31,4,4.98,4.96,4.97,4.98,4.98,4.97,4.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
756594,4,2.0,2.0,92.0,17,41,70,344,392,31,3,4.9,4.93,4.94,4.96,4.93,4.84,4.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
774712,1,1.0,1.0,100.0,20,50,80,355,38,2,0,4.81,4.74,4.92,4.81,4.66,4.97,4.73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
776434,6,3.0,3.0,211.0,4,8,17,292,106,5,0,4.89,4.96,4.97,4.94,4.98,4.96,4.87,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
785140,2,2.0,2.0,110.0,23,53,83,173,62,0,0,4.85,4.92,4.56,4.97,4.97,4.85,4.88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
852934,6,2.0,5.0,85.0,18,48,78,78,341,22,0,4.65,4.7,4.7,4.9,4.87,4.71,4.64,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
915016,3,1.0,2.0,89.0,0,28,54,327,329,5,0,4.91,4.97,4.93,4.94,4.94,4.91,4.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
953052,4,2.0,3.0,93.0,30,60,90,365,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
958612,2,1.0,1.0,106.0,24,54,84,359,12,0,0,4.75,4.83,4.83,4.75,4.75,4.92,4.64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1041934,4,2.0,3.0,165.0,5,5,5,211,38,4,1,4.89,4.87,4.74,4.97,4.97,4.95,4.92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1042331,3,1.0,3.0,145.0,6,6,6,241,49,3,0,4.73,4.82,4.55,4.94,4.92,4.92,4.82,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1069351,4,2.0,2.0,100.0,0,0,0,53,5,0,0,4.6,4.8,4.8,5.0,4.8,4.6,5.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1074386,2,1.0,1.0,156.0,21,51,81,261,119,24,2,4.73,4.8,4.71,4.86,4.86,4.74,4.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1082572,3,1.0,2.0,104.0,24,51,51,128,49,4,1,4.91,4.89,4.94,5.0,4.89,4.96,4.89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1179701,4,3.0,2.0,225.0,6,36,66,246,17,0,0,4.18,4.35,4.29,4.41,4.29,4.59,4.06,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1279576,4,2.0,2.0,98.0,23,23,23,168,6,1,0,4.83,4.83,4.5,4.67,5.0,5.0,4.67,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1313699,10,5.0,5.0,279.0,0,0,0,0,28,5,0,4.75,4.75,4.75,5.0,4.96,4.96,4.93,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
