id,customer_segments_pca
360,1
364,3
31503,3
39405,0
154999,1
364585,4
504080,3
521072,1
575758,3
632709,1
665622,0
676825,4
715123,0
756594,0
774712,3
776434,4
785140,3
852934,3
915016,3
953052,3
958612,3
1041934,1
1042331,1
1069351,1
1074386,3
1082572,3
1179701,3
1279576,3
1313699,4
1315790,1
1315853,1
1327856,1
1337012,3
1397309,1
1402409,4
1581384,1
1583103,1
1641476,4
1758820,1
1801950,0
1955800,3
1966103,1
2061222,1
2104774,1
2119667,3
2139342,1
2232323,4
2239191,3
2243316,1
2267500,1
2361919,1
2386289,1
2441900,3
2466830,3
2487185,4
2599115,4
2827887,1
2875696,1
2957097,4
2960513,3
2975710,4
2998222,4
3094167,1
3138055,3
3280778,4
3334447,3
3338717,1
3341556,1
3404692,4
3458369,1
3479122,1
3542624,4
3685552,3
3799043,1
3810191,1
3829793,1
3891080,0
3960763,1
4000181,3
4052272,1
4077803,3
4080404,0
4137490,1
4180622,3
4191778,3
4241536,1
4267851,4
4288813,0
4294257,0
4350594,4
4383018,1
4384783,1
4416289,3
4540903,1
4545539,0
4556950,1
4556956,1
4574082,1
4581251,1
4604416,1
4637460,1
4638352,0
4692668,1
4775222,1
4817072,1
4951295,0
5010213,3
5164075,1
5184333,3
5414477,1
5531293,1
5600653,1
5716391,2
5717755,4
5794938,0
5921927,1
5931452,1
5946059,1
5955475,1
5966633,0
5990927,0
6065081,3
6141491,4
6333040,0
6349335,4
6374807,3
6416196,4
6424367,4
6678066,4
6730800,3
6796745,3
6846954,1
6854536,4
6869896,3
6913874,1
6954236,4
7071425,1
7091323,0
7198718,3
7336200,3
7349270,3
7557038,1
7577128,0
7603546,1
7622030,3
7651907,1
7763814,1
7776227,0
7780920,4
7789164,1
7808218,1
7819520,1
7826191,4
7913963,4
7931953,0
7948813,0
8071897,0
8084258,1
8117043,1
8213634,3
8267327,3
8352843,0
8356699,1
8482535,2
8500786,3
8520978,4
8556263,0
8566977,3
8671797,1
8680784,1
8682809,0
8797683,4
8860548,1
8951180,1
9009513,0
9062588,1
9108143,0
9153971,4
9165337,1
9170215,4
9173434,4
9362091,4
9362272,4
9428199,3
9433028,1
9558254,4
9633450,0
9654110,4
9797489,0
9997587,1
10021154,3
10040421,1
10061459,0
10102030,0
10161676,1
10231980,3
10237203,0
10244515,1
10363495,0
10415529,4
10709107,1
10747925,4
10802368,1
10927209,3
10928009,1
10946289,1
10995273,0
11037671,0
11105109,1
11123088,1
11127739,0
11145675,3
11260552,1
11295273,0
11338921,0
11358422,3
11370833,1
11469990,1
11521979,0
11789571,0
11945010,0
12008338,3
12105336,4
12169927,0
12207545,4
12210358,0
12214224,1
12365447,0
12454119,0
12455228,3
12487223,3
12561648,3
12606455,0
12654017,0
12722198,1
12761180,0
12765811,1
12972487,0
12990793,0
12990921,0
13025480,4
13026326,1
13066618,1
13140326,4
13194349,0
13204273,0
13223024,1
13260989,0
13280979,4
13330646,1
13332504,1
13380198,4
13414484,0
13447168,0
13449331,0
13497202,3
13505760,1
13513735,1
13545464,3
13656664,0
13686918,3
13741042,4
13744375,1
13745963,0
13751109,0
13751968,0
13752452,1
13764044,0
13784513,3
13815789,0
13878432,3
13901522,0
13957450,1
14010321,0
